word,phonetic,pos,meaning,examples,memory_methods,derivatives,collocations,extensions,chapter,source_page,source_book,confidence
gasoline,/ˌɡæsəˈliːn/,n.,汽油,There is still some gasoline left in the tank. 油箱里还剩下一些汽油。,划分：gas | oli | ne 针对第1个元素采用含义联想法：gas 为已经记忆过的单词，表示 n.气体； 针对第2个元素采用含义联想法：将 oli 简单调换顺序得到已经记忆过的单词 oil n. 油；石油； 综合考虑 gas（气）+ oli（oil - 油）——> n.汽油,,,,Part3,1280,单词突围5200 上册,1.0
gate,/ɡeɪt/,n.,大门,He opened the gate with a push. 他一下就把大门推开了。,"针对整个单词采用谐音记忆法：gate 发音谐音""给他""，想象有邻居来找你借工 具，你打开""大门""把东西给了他。故 gate 表示给邻居东西时需要首先打开的 n.大 门",,,,Part4,663,单词突围5200 上册,1.0
gather,/ˈɡæðə(r)/ phenomenon mother gather,v.,聚集；采集,Everyone gathered around the table. 大家都围在桌子旁。,"划分：ga | ther 针对第1个元素采用谐音记忆法：ga 在单词中的发音类似中文里的""尬""，即尴尬； 针对第2个元素采用字形联想记忆法：通过 ther 的字形容易联想到熟悉的两个单 词 mother n.母亲，father n.父亲； ① 综合考虑：ga（尴尬）+ ther（母亲和父亲）——> 想象一对夫妇因为感情不 和离婚分居多年，突然有一天他们的孩子同时邀请两人聚到（gather）一起，甚至 还给两人买了邻座的电影票让他们一起去看电影，这让父亲和母亲（ther）都感到 无比尴尬（ga）； 看到 gather 想起让离婚多年的父亲母亲（ther）重新""聚到""一起之后尴尬（ga） 的场面。由两人碰面的意向记住 gather 表示 v.聚集； ② 由 v.聚集 的含义进行延伸 ——> 农民伯伯在果园里摘水果时都是将水果摘下来 后放在同一个篮子里，由此体会 v.采集 和 v.聚集 两个含义的联系",,gather together 聚在一起；gather around…聚集在…周围：,gathering n.收集；聚集,Part2,735,单词突围5200 上册,1.0
gathering,/ˈɡæðərɪŋ/,n.,聚集，集会,There was a large gathering of people at the ceremony. 在典礼上有许 多人聚集在一起。,gather 为已经记忆过的单词，表示 v.聚集；采集；末尾加上 -ing 动名词后缀，表 示核心含义相同的名词含义，意为 n.聚集，集会,,,,Part2,736,单词突围5200 上册,1.0
gene,/dʒəˈnetɪk/,,ad .基因的，遗传的,It's very difficult to treat genetic diseases. 遗传性疾病治疗起来很困难。 gene genetic generation,gene 为已经记忆过的单词，表示 n.基因；末尾加上 -ic 表示与性质相关的形容词 后缀，得到核心含义相同的形容词含义，即 ad .基因的，遗传的,,,,Part3,202,单词突围5200 上册,1.0
generate,/ˈdʒenəreɪt/,vt.,使产生；生殖,This new boiler generates more heat than the old one. 这个新锅炉产 生的热量比旧锅炉多。,generation 为已经记忆过的单词，表示 n.下一代；末尾去掉 -ion 名词后缀，加 上 -te 动词后缀，得到核心含义相同的动词含义，即产生下一代，或者广义来看产 生新东西：① 对应物品或者广义含义，即 vt.使产生；② 对应人的含义，即表示 vt.生殖,,,generation n.产生；generator n.发电机；发生器； generate,Part3,203,单词突围5200 上册,1.0
generation,/dʒəˈnetɪk/,,ad .基因的，遗传的,It's very difficult to treat genetic diseases. 遗传性疾病治疗起来很困难。 gene genetic generation,gene 为已经记忆过的单词，表示 n.基因；末尾加上 -ic 表示与性质相关的形容词 后缀，得到核心含义相同的形容词含义，即 ad .基因的，遗传的,,,,Part3,202,单词突围5200 上册,1.0
generous,/ˈdʒenərəs/,,ad .慷慨的，宽厚的；大量的,The teacher is always very generous to the kids. 那位老师对孩子们总是 很大度。,"通过 generous 的发音和字形容易联想到已经记忆过的单词 generation n.下一 代，下一辈 ——> 我们作为年轻一代经常会看到我们的爷爷奶奶有一些非常节俭 的习惯，因为那是他们在中国物质匮乏的年代养成的节俭的习惯。 而作为在中国发展新阶段中成长起来的新一代，相比长辈们，我们在消费方面总是 formal generous 显得更加的""慷慨""和""大方""，故看到 generous 想起 generation，接着意识到作 为新一代和下一代，我们相比长辈们在消费方面的普遍特征，即 ad .慷慨的，大方 的； 由 ad .慷慨的，大方的 含义稍作延伸 ——＞ 有个成语叫做""宽宏大量""，由此把握 慷慨大方与""大量""之间的关系，故 generous 还可以表示 ad .大量的； 注意：""宽宏大量""这里仅作记忆使用，generous本身既可以表示精神层面的宽宏 大量，也可以表示数量上的""大量的，丰富的""",,,generously adv.慷慨地,Part2,1055,单词突围5200 上册,1.0
generously,/'dʒenərəsli/,adv.,慷慨地，不吝啬地,Many people contributed generously to the appeal. 许多人对这一呼吁 慷慨解囊。,generous 为已经记忆过的单词，表示 ad .慷慨的，宽厚的；末尾加上 -ly 副词后 缀，得到核心含义相同的副词含义，表示 adv.慷慨地，不吝啬地,,,,Part2,1056,单词突围5200 上册,1.0
genetic,/dʒiːn/,n.,基因,Gene mutations are alterations in the DNA code. 基因突变是指DNA 密 码的改变。,"针对整个单词采用谐音记忆法：gene 发音类似中文""基因""，故表示 n.基因",,,genetic ad .基因的；genetically adv.基因地,Part3,202,单词突围5200 上册,1.0
genius,/ˈdʒen uɪn/,,ad .真的，真正的；真诚的,Sometimes people cannot cry despite genuine grief. 有时候尽管真的 悲伤，人们也哭不出来。,"划分：genui | (nui)ne 针对第1个元素采用含义联想法：通过 genui 的字形和发音联想到已经记忆过的单 词 genius n.天才；天才人物； 针对第2个元素采用谐音记忆法：nuine 在单词里的发音类似中文""牛顿""，即伟大 的天才物理学家牛顿； 联系 ad .真的，真正的 含义再综合考虑 genui（genius - 天才）+ nuine（牛顿） ——> 不同于一般人吹嘘自己，改变科学界的牛顿的确是一个""真正的""天才，这是 毫无疑问的； 用心感受 genuine 这个词背后传递出一种对""牛顿是真正的天才""这个判断丝毫不 怀疑的笃信，从而记住 genuine 表示强烈的认同，即 ad .真的，真正的",,,,Part2,1163,单词突围5200 上册,1.0
genui,/ˈdʒen uɪn/,,ad .真的，真正的；真诚的,Sometimes people cannot cry despite genuine grief. 有时候尽管真的 悲伤，人们也哭不出来。,"划分：genui | (nui)ne 针对第1个元素采用含义联想法：通过 genui 的字形和发音联想到已经记忆过的单 词 genius n.天才；天才人物； 针对第2个元素采用谐音记忆法：nuine 在单词里的发音类似中文""牛顿""，即伟大 的天才物理学家牛顿； 联系 ad .真的，真正的 含义再综合考虑 genui（genius - 天才）+ nuine（牛顿） ——> 不同于一般人吹嘘自己，改变科学界的牛顿的确是一个""真正的""天才，这是 毫无疑问的； 用心感受 genuine 这个词背后传递出一种对""牛顿是真正的天才""这个判断丝毫不 怀疑的笃信，从而记住 genuine 表示强烈的认同，即 ad .真的，真正的",,,,Part2,1163,单词突围5200 上册,1.0
geography,/ˌdʒiːəˈlɑːdʒɪkli/,adv.,地质学上,They're storing it deep underground in geologically stable locations. 它们被储藏在地下深处 地质结构稳定的部位。 geological geologically,geological 为已经记忆过的单词，表示 ad .地质(学)的；末尾加上 -ly 副词后缀， 得到核心含义相同的副词含义，表示 adv.地质学上,,,,part,1317,单词突围5200 上册,1.0
giant,/dɪsˈeɪbl/,vt.,使丧失能力；使伤残；使无效；使不能运转,Many kind-hearted people donated to the children who were disabled by accidents. 很多好心人向那些因事故导致残废的孩子捐款。 fightback disable,划分：dis | able 针对第1个元素采用,,,disabled ad .无能力的；残废的；disability n.缺陷；障碍,Part2,1160,单词突围5200 上册,1.0
glamorous,/ˈɡlæmərəs/,,ad .富有魅力的；迷人的,A lot of people believe that working at a magazine is a glamorous ob. 很多人认为在杂志社工作是一件光鲜有魅力的事儿。 glamour glamorous < %2Fwww.yuque.com%2Fwangzhenyu-nozuu%2Fnlgqhi%2Fdvh70bmar44g0g %2Fcdn.nlark.com%2Fyuque%2F0%2F2023%2Fpng%2F21540932%2F16812041238 c720-4fc4-a1ba-7e30c265e604.png&title=Part2%20%7C%20Part2sustain%E %A0%87%EF%BC%9A%2Fs%C9%99%CB%88ste%C9%AAn%2F%E9%87%8A%E %BC%9Avt.%E4%BF%9D%E6%8C%81%EF%BC%8C%E4%BD%BF%E6%8C%81 %E4%B8%8B%E5%8E%BB%EF%BC%9B%E4%BE%9B%E5%85%BB%EF%BC%8C%E %8C%81%EF%BC%88%E7%94%9F%E5%91%BD%E7%AD%89%EF%BC%89%EF%B %AF%E6%8C%81%EF%BC%8C%E6%94%AF%E6%92%91%EF%BC%9B%E7%BB%8 %EF%BC%8C%E9%81%AD%E5%8F%97%EF%BC%9B%E5%B8%A6%E4%BD%A0%E %BC%9A%E5%88%92%E5%88%86%EF%BC%9Asus%20%7C%20tain%E9%92%8 %E7%AC%AC1%E4%B8%AA%E5%85%83%E7%B4%A0%E8%AF%8D%E6%A %8D%E7%BC%80%E5%88%86%E6%9E%90%EF%BC%9Asus%20%E4%BD%9C%E %BC%80%E5%8F%AF%E4%BB%A5%E7%9C%8B%E5%81%9A%E6%98%AF%E5%9C,glamour 为已经记忆过的单词，表示 n. 魅力，诱惑力；末尾加上 -ous 形容词后 缀，得到核心含义相同的形容词含义，表示 ad .富有魅力的；迷人的,,,,Part2,1057,单词突围5200 上册,1.0
glamour,/ˈɡlæmər/,n.,魅力，诱惑力,Susan added a touch of glamour by wearing a beautiful dress. 苏珊穿 看一件漂亮的连衣裙，增添了几分魅力。,"划分：gla | mour 针对第1个元素采用谐音记忆法：gla 在单词里的发音类似中文""割男""，能把男人斩 落马下；然后将 -our 理解为名词后缀 ——> 能把男人斩落马下，俘获男人内心的 东西，即女性所具有的 n. 魅力，诱惑力",,,glamorous ad .特别富有魅力的,Part2,1057,单词突围5200 上册,1.0
god,/ɡɒd/,n.,神,They sacrificed a lamb to the gods. 他们以羔羊祭祀众神。,oh my god - 我的天哪，属于常用词组，其中的 god 正表示 n.神 的含义，由此记 住 god n.神,,,,Part1,477,单词突围5200 上册,1.0
good,/ˈhaɪlaɪt/,vt.,强调，突出，使显著；n.最精彩的部分,The research highlighted worries about the lack of progress in improving basic skills in the UK workforce. 这一研究强调了对于英国劳动者在 提高基本技能方面没有进展的担忧。 highlight display,划分：high | light 针对第1个元素采用含义联想法：high 为已经记忆过的熟悉单词，表示 ad .高的； 针对第2个元素采用含义联想法：light 为已经记忆过的熟悉单词，表示 n.光； 综合考虑 high（高的）+ light（光）——> 高光； 如上图，采用荧光笔将内容高光处理，即表示 vt.强调，突出，使显著；而被高光 标识的部分也正是 n.最精彩的部分,,,,Part4,567,单词突围5200 上册,1.0
grade,/ɡreɪd/,n.,等级；（中小学的）学年；成绩；分数,Jim's elder brother will enter the sixth grade this autumn. 吉姆的哥哥 今年秋季将升入六年级。,"划分：gra | de 针对第1个元素采用含义联想法：通过 gra 的字形和发音联想到已经记忆过的单词 great ad .重要的；极好的； 针对第2个元素采用谐音记忆法：de 在单词里的发音类似中文""的""； 联系 n.等级，成绩 的含义再综合考虑 gra（great - 极好的）+ de（的）——> 用来判断一个学生表现好不好（gra）的（de）标准，对应这种用来排序判断好坏 的指标，grade 表示 n.等级；（中小学的）学年；成绩；分数",,,,Part3,74,单词突围5200 上册,1.0
graduate,/ˈɡrædʒuət/,v.,毕业；n.（大学）毕业生；研究生,Mr. Green hired a young college graduate to help. 格林先生雇用了 一 名年轻的大学毕业生给他帮忙。,划分：grad | uate 针对第1个元素采用含义联想法：通过 grad 的字形容易联想到已经记忆过的单词 grade n.年级；成绩； grade graduate 针对第2个元素采用,,graduate from… 从…（学校）毕业,"graduation n.毕业；毕业典礼； | 词义辨析：graduate 是瞬间动词，不能与时间段连用；想表示""毕业了多长时间"" 这种延续性概念，可用 be away from school。 常见搭配：graduate from… 从…（学校）毕业； 词汇扩充：graduation n.毕业；毕业典礼",Part3,74,单词突围5200 上册,1.0
graduation,/ˌɡrædʒuˈeɪʃn/,n.,毕业；毕业典礼,He purposed that he would marry after graduation. 他打算毕业后结 婚。,graduate 为已经记忆过的单词，表示 v.毕业；末尾去掉动词后缀 -e 动词后缀，加 上 -ion 名词后缀，得到核心含义相同的名词含义，表示 n.毕业；毕业典礼,,,,Part3,75,单词突围5200 上册,1.0
grain,/ɡreɪn/,n.,谷物，谷类；颗粒,We use only the best grain in our bread. 我们只用最好的谷物做面包。,"划分：g | rain 针对第1个元素采用谐音记忆法：g 作为首字母进行拼音拼写可以得到中文""谷 （gu）""，即谷物，谷类； 针对第2个元素采用含义联想法：rain 为熟悉单词，意为 v.下雨； 1）综合考虑 g（谷物）+ rain（下雨）——> 需要雨水（rain）才能存活的谷 物，即表示 n.谷物，谷类；2）由 n.谷物 进行延伸 ——> 谷物颗粒，即 n.颗粒",,,,Part1,912,单词突围5200 上册,1.0
grammatical,/kəmˈpəʊzər/,n.,作曲家,The success of a popular composer depends on his melody. 人们喜爱 的作曲家成功的秘诀在于他谱写的优美的音乐。,compose 为已经记忆过的单词，表示 vt.创作（乐曲、诗歌等），为…谱曲；末尾 加上 -er 表示人的名词后缀，得到核心含义相同的名词含义，表示作曲谱曲的人， 即 n.作曲家,,,,Part2,1144,单词突围5200 上册,1.0
grand,/ɡrænd/,,ad .宏伟的，盛大的；豪华的，奢华的,A grand meal was laid before them. 一道奢华的菜肴摆在他们面前。,"interpret grandma grand grandma 为已经记忆过的单词，表示 n.奶奶；其中 ma 表示妈妈，因此可以推理 得到 grand 表示年龄大的；将年龄大中""大""这个核心含义内核进行延伸 ——> ① ad .盛大的；宏大的；宏伟的；② 由于宏大的场面常常花费不菲，故 grand 还可 以表示 ad .豪华的；奢华的",,,,Part3,516,单词突围5200 上册,1.0
grandma,/ˈɡrænmɑː/,n.,奶奶；外婆,I spent one summer staying with my Grandma. 我和奶奶度过了一个夏 天。,（熟悉单词，无需额外记忆方法）,,,,Part3,516,单词突围5200 上册,1.0
grant,/ɡrɑːnt/,n.,授予物；补助金；vt.授予，给予；同意,As my wife，I think you should grant me this favor. 作为我的妻子，我 认为你应该给我这份关怀。,"通过 grant 的字形和发音容易联想到已经记忆过的单词 grand ad .宏伟的；更进 一步还能联想到 grandma n.奶奶，外婆；下面通过联想将 grant n.授予物；vt.授 予 和 grandma n.奶奶，外婆 联系在一起 ——> 一般家庭里奶奶、外婆都是慈眉 善目的角色，于是我们作为孙子和孙女常常囊中羞涩的时候都会找奶奶、外婆接济 一下； 那么不妨想象一下自己没钱了去找奶奶和外婆，他们总是慈眉善目地多给我们一些 零花钱。基于这样一个乐意把零花钱给我们的过程，我们便能从中把握 grant 表 示""将东西给到别人""的核心含义内核，稍作延伸：① 给出去的东西，即为 n.授予 物；补助金；② 给出去东西这个行为，即表示 vt.授予，给予；同意； 总结：关于 grant 重点把握""同意把东西给出去""这个核心内核，具体含义可以在具 体场景中进行推导和延伸。",,,granted adv.的确；con .因为,Part3,517,单词突围5200 上册,1.0
graph,/ɡrɑːf/,n.,图表，曲线图,What dose the graph show？ 这张图表显示了什么？,"通过 graph 联想到熟悉单词 photograph n.照片，其中 photo 作为 photograph 的简写，本身就可以表示 n.照片；由此体会 graph 作后缀表示与""图 像化呈现""相关的核心含义，并引申为 n.图表；曲线图",,,graphic ad .形象的；图表的；graphically adv.形象地,Part4,565,单词突围5200 上册,1.0
graphic,/kiːn/,,ad .渴望的；热心的；激烈的；敏锐的,Scott is not keen on cooking food herself，thinking it would simply be a waste of time. 斯科特不喜欢自己做饭，他认为这纯粹是在浪费时间。,"划分：ke | e | n 针对第1个元素采用谐音记忆法：ke 通过拼音拼读得到中文""渴""，渴望；在 ke 后 再加上一个字母 e 可以理解为对""渴望""的强化和加深，即表示极其渴望的 ——> ① 表示渴望本身，意为 ad .渴望的；热心的；② 对应渴望被加强后极其渴望的程 度，意为 ad .激烈的",,be keen on / about 渴望…；be keen to do sth 渴望做某事,,Part4,566,单词突围5200 上册,1.0
graphically,/laɪt/ keen high light,n.,光；灯；灯光；vi.（lit/lighted，lit/lighted，lighting）点（火）；变 亮；ad .明亮的；轻的；浅色的,The good news lit Jane's face up. 那个好消息让简看起来神采奕奕。,（熟悉单词，无需额外记忆方法）,,light up 点燃，亮起来,,Part4,566,单词突围5200 上册,1.0
grasp,/krɑːft/,n.,工艺，手艺；船，航空器,The harbor was full of pleasure craft. 港口满是游艇。,"① 针对整个单词采用发散联想法：由 craft 联想到一款熟悉的游戏《我的世 界》""minecraft"" 如下图： 大家都知道在这个游戏当中我们可以靠一个又一个的小方块去随心所欲地建造自己 的世界，但不同的人玩这个游戏的结果却截然不同。有的人把建筑建造的宏伟华 丽，有的人却什么都找不出来，由此可以看出在《我的世界》中修建美观的建筑事 实上是需要一定的""工艺，手艺""的。 为了加深印象，你现在可以想象一个技术纯熟的玩家造出了华丽的建筑，而技术粗 糙的玩家造出的也是粗糙的建筑，两者一对比更加突出了 n.工艺，手艺； ② 由 n.工艺，手艺 的含义加上上述在我的世界中打造东西的情景把握 craft 传达 的与手工制作有关的意向。 再将 craft 划分为：cra(f) | ft 针对第1个元素采用谐音记忆法：craf 在单词里的发音类似中文""砍伐""，砍伐树 木； grip craft 针对第2个元素采用谐音记忆法：将 f 作为首字母拼读得到中文""筏""，船筏； 综合考虑 craft（与手工制作有关）+ craf（砍伐）+ ft（船筏）——> 砍伐下树 木手工制作成船筏。故 craft 表示制作的成品，即 n.船；由 n.船 进行延伸，表示 太空中的飞船，即 n.太空船",,,,part,1320,单词突围5200 上册,1.0
grass,/ɡrɑːs/,n.,草；草场；牧草,The donkey is eating grass on the field. 这头驴子正在田野上吃草。,"划分：gra | ss 针对第1个元素采用谐音记忆法：gra 在单词中的发音类似中文""刮""，把东西从表 面刮掉，引申为将存在于某个表面上的东西刮除掉； 针对第2个元素采用谐音记忆法：ss 作为拼音首字母进行拼读，联想到成语""生生 不息""； 综合考虑 gra（刮除）+ ss（生生不息）——> 即使暂时被刮除掉也生生不息的植 物，即 n.草；想象小草暂时被刮除、铲除（gra），不久之后又开始重新生长，表 现出一派生生不息的生命力；由此联想到""野火烧不尽，春风吹又生""的势头；进而 记住 grass 表示 n.草；草场；牧草",,,,Part2,936,单词突围5200 上册,1.0
grave,/ɡreɪv/,n.,坟墓；ad .严重的；严肃的,The report expressed grave concern over the doctors's lack of moral sense. 该报告对医生道德感的缺失表示严重担忧。,"划分：gra | ve 针对第1个元素采用谐音记忆法：gra 在单词里的发音类似中文""跪""，跪下； 针对第2个元素采用谐音记忆法：ve 在单词里的发音类似中文""捂""，捂住嘴巴泣不 成声； ① 综合考虑 gra（跪下）+ ve（捂住嘴巴泣不成声）——> 想象亲人去世后，家 人们跪在""坟墓""面前捂着嘴巴泣不成声。故 grave 表示埋葬过世亲人的地方 n.坟 墓； ② 由 n.坟墓 的含义引申到墓地和葬礼时庄重严肃的氛围，故 grave 作形容词可以 表示 ad .严肃的； ③ 由 n.坟墓 的含义稍作延伸可以表示与""死亡""有关的意向，类似已经记忆过的单 词 fatal 均表示可以导致死亡的。显然性命攸关的事情从重要性上看是 ad .严重 的； fate grave",,,,Part3,1166,单词突围5200 上册,1.0
gravity,/ˈɡrævəti/,n.,地心引力，重力,The surface gravity on Mars is only about 38% of the surface gravity on Earth. 火星的地面重力只有地球地面重力的越38%。,"划分：gra | vity 针对第1个元素采用谐音记忆法：gra 在单词中的发音类似中文里的""挂""，挂住； 这里引申为被重物挂住、拖住； 针对第2个元素采用 | 词根分析：grav：词缀/词根，表示重； | 巧记：grav 谐音中文""挂""，当有重物挂在身下时，我们的感觉是重",,,,Part1,1241,单词突围5200 上册,1.0
graze,/ɡreɪz/,n.,擦破（处）；vt.放牧（牛、羊等）；擦伤（皮肤等）；擦过，掠过；vt. （牛、羊等）吃青草,Families graze on high-cholesterol take aways and microwaved ready-meals. 家家户户都在吃高胆固醇的外卖食品和用微波炉热好的快餐。,"① 通过 graze 的字形和发言容易联想到熟悉单词 grass n.青草；留意 graze 末尾 -ze 为动词后缀 ——> 青草的用途可以用来进行 vt.放牧（牛、羊等）；反过来也 可以表示 vt.（牛、羊等）吃青草； ② 划分：gra | ze 针对第1个元素采用谐音记忆法：gra 在单词里的发音类似""跪""，跪下； grass graze 针对整个单词采用含义联想法：通过 graze 的发音和字形联想到已经记忆过的单 词 grass n.青草； 综合考虑 gra（跪下）+ graze（grass - 青草）——> 跪在青草地上一不小心可 能会擦伤皮肤。想象自己的膝盖跪在草地上被青草擦伤的场景，把握 graze 作动词 表示 vt.擦伤（皮肤等）；擦过，掠过；作名词表示 n.擦破（处）",,,,Part2,936,单词突围5200 上册,1.0
great,/ˈfiːmeɪl/,,ad .女性的，雌性的；n.女性，女人,The males are bulkier than the females. 男性比女性身体粗壮。,"划分：fe | male 针对第1个元素采用谐音记忆法：fe 在单词中的发音类似中文里的""非""，表示不 是； 针对第2个元素采用含义联想法：male 为已经记忆过的单词，表示 ad .男性的；雄 性的； 综合考虑 fe（非，不是）+ male（男性的，雄性的）——> 非男性的，即 ad .女 性的，雌性的；然后进行形容词到名词的延伸，得到 n.女性，女人； male female",,,,Part2,1156,单词突围5200 上册,1.0
grid,/ɡrɪd/,n.,方格，格子；地图上的坐标方格；输电网，煤气输送网,"This can overload power grids, causing blackouts.这会使电网超负荷， 造成停电。","划分：g | rid 针对第1个元素采用谐音记忆法：g 在单词里的发音类似中文""格""，格子； 针对第2个元素采用谐音记忆法：把握 rid 最后的发音""的""，表示…的； 综合考虑 g（格子）+ rid（…的）——> 呈格子形状的，即表示 n.方格，格子； 由与""格子形状""有关的核心含义内核进行延伸，表示一系列与格子形状有关的事 物，比如：1）地图上的坐标方格；2）在脑海中想象城市中电网和煤气网也是交织 在一起的格子形状，故 grid 还可以表示 n.输电网，煤气输送网",,,,Part3,1167,单词突围5200 上册,1.0
grill,/ɡrɪl/,n.,（烧食物的）烤架；烤肉,Put the meat on a hot grill to burn for five minutes. 把肉放在烤架上烤 5分钟。,"划分：g | rill 针对第1个元素采用谐音记忆法：将 g 作为首字母进行拼音拼读得到中文""滚""，引 申为用滚滚烈火进行炙烤； 针对第2个元素采用含义联想法：通过 rill 的字形容易联想到已经记忆过的单词 drill v.钻，这里引申为用竹签钻进并串起肉串，如图： 综合考虑 g（用滚滚烈火炙烤）+ rill（drill - 用竹签钻进并串起肉串）——> ① grill 既可以指串好后放在滚滚烈火上炙烤的 n.烤肉；② 也可以指帮助串好的肉（rill） 在滚滚烈火（g）更方便烤好的工具，即 n.烤架； 注意：关于 grill 大家重点掌握其与烤肉这项活动紧密的关系即可，n.烤架 和 n.烤 肉 均可由此引申而来。",,,,Part1,1127,单词突围5200 上册,1.0
grip,/ɡrɪp/,v.,握紧，抓牢；吸引住（…的注意力）；n.紧握,The frightened child gripped its mother's arm. 受惊骇的孩子紧紧抓住 他母亲的臂膀。,通过 grip 的字形和发音联想到已经记忆过的单词 grasp vt.抓住，紧握；将 grip 理解为 grasp 的近义词便可记住 grip 表示 v.握紧，抓牢；吸引住（…的注意 力）；n.紧握,,get a firm grip on 紧紧握住,,part,1320,单词突围5200 上册,1.0
gross,/ɡrəʊs/,,ad .总共的；粗野的；恶劣的,His gross income is £70 per week. 他每周总收入为70英镑。,"划分：gro | (ro)ss 针对第1个元素采用谐音记忆法：gro 在单词里的发音类似中文""购""，购物，购 买； 针对第2个元素采用含义联想法：通过 ross 的字形和发音联想到已经记忆过的单 词 rose n.玫瑰花；由于 ross 末尾字母为 s，因此可以将 ross 暂时看成是 rose 的 复数形式，表示很多玫瑰花； 综合考虑 gro（购买，购买）+ ross（rose - 很多玫瑰花）——> 请你想象一个油 腻的中年暴发户冲进一家花店，从进店开始就一直强调：我要跟女生表白，所以我 要买走所有的玫瑰花，快点快点！我不差钱，你赶紧把所有的玫瑰花都拿出来给 我！ 具体想象暴发户最后将花店里的所有玫瑰花洗劫一空之后抱着一大捧玫瑰花走出商 店的场景。然后从暴发户一次性集中买走所有玫瑰花这个点切入，gross 表示全部 都算在一起的，即 ad .总共的；而如果从暴发户进商店后对营业员吆五喝六的行为 切入，我们认为这个暴发户的行为是极其 ad .粗野的；恶劣的",,,,Part1,913,单词突围5200 上册,1.0
guarantee,/ˌɡærənˈtiː/,n.,保证；保证书；担保物；vt.保证，担保,The camera is guaranteed for twelve months. 这架相机保用一年。,"划分：guar | antee 针对第1个元素采用含义联想法：通过 guar 的字形和发音联想到已经记忆过的单 词 guard v.保卫，看守 ——> 由此体会到一种提供了周全的保护，让生命安全得 到保证的意向； 想象你一个人出门周围围了10个保镖，这让你体会到自己的生命安全得到了充分 的""保证""，具体刻画这个场景中你体会到的安心和放心，由此把握 guarantee 表 示 vt.保证；n.保证； 由 vt.保证 进行延伸把握 guarantee 表示""保证一定不会出问题""的核心含义内核， 将这种保证具体化即表示 n.保证书；担保物；vt.担保",,,,Part2,487,单词突围5200 上册,1.0
guard,/ɡɑːd/,v.,保卫，看守；n.防护装置；警戒,They used poisonous snakes to guard the exhibition ob ects. 他们用毒 蛇看守展品。,"针对整个单词采用谐音联想法：通过 guard 的发音容易联想到熟悉单词 god v. 神，上帝 ——> 许多人喜欢向上帝（god）祷告，就是觉得上帝一直在天上""保 卫""着人间那些虔诚的人； 看到 guard 想起 god，进而联想起人们所认为的上帝（god）总是在天上为人类 提供""保护""，由此记住 guard 表示 v.保卫，看守； 由 v.保卫 进行动词到名词的延伸 ——> 与保卫、防护相关的名词，即 n.防护装 置；警戒",,,guardian n.护卫，保护人；unguarded ad .没有设防的； pursue guard,Part1,479,单词突围5200 上册,1.0
guardian,/ˈɡɑːrdiən/,n.,监护人；保护人,The police are guardians of law and order. 警察是法律和秩序的护卫 者。,guard 为已经记忆过的单词，表示 v.保卫，看守；末尾加上 -ian 在记忆单词 librarian n.图书管理员 时已经接触过的表示人的名词后缀，意为…的人 ——> 其 看守和保护作用的人，即 n.监护人；保护人,,,,Part1,480,单词突围5200 上册,1.0
guest,/ɡest/ guest,n.,客人；旅客；房客；特别嘉宾；v.做特邀嘉宾；做客串；做特约演员,She was a guest at the wedding. 她是参加婚礼的客人。,"针对整个单词采用谐音记忆法：guest 整个单词的发音类似中文里的""该死的"" ——> 想象春节在家，亲戚来家里串门，你总会遇到那种让你烦得不行客人，比如 说带了个熊孩子，比如说一上来就各种炫耀自己孩子多牛逼，比如说说话声音贼 大…每每这个时候你心里也许都会想""靠！该死的！烦都烦死了…"" 看到 guest 想起烦人亲戚上门作客的场景，进而记住 guest 表示 n.客人； 注意：你先不用在意 guest 那么多的具体含义，记住 guest 最核心的含义内核就 是与""客人""相关，延伸出去之后大概两个方向——一个是客人来你这，一个是你作 为客人去别人那儿。 有了这个眼光之后再重新审视 guest 的各种含义，瞬间就会有一种能够轻易理解 的掌控感，顶多就是在两个方向之后针对具体情境进行一点自然的延伸而已：1） 客人来你这作客，guest 表示 n.客人；旅客；房客；特别嘉宾；2）你作为客人去 别人那里，即 v.做特邀嘉宾；做客串；做特约演员",,be my guest 请便；随便,,Part3,1287,单词突围5200 上册,1.0
gym,/dʒɪm/,n.,体育馆；健身房,Champions aren't made in gyms. 冠军不是在健身房练出来的。 suicidal gym,"划分：gy | m 针对第1个元素采用谐音记忆法：gy 在单词中的发音类似中文里的""紧""，联想到紧 身衣，即健身时穿的吸汗紧身衣； 针对第2个元素采用字形联想记忆法：将 m 的形状联想成一个带有顶棚的房间或者 场馆； 综合考虑 gy（紧身衣）+ m（带有顶棚的房间或场馆）——> 什么样的房间/场馆 里大家都穿着吸汗的紧身衣呢？答案是 n.健身房；体育馆",,at the gym 在体育馆；gym shoe 运动鞋,gymnastics n.体操,Part1,1120,单词突围5200 上册,1.0
gymnastics,/dʒɪmˈnæstɪks/,n.,体操，体育,A world gymnastics competition were held in New York in 2011. 2011 年，纽约举办了一场国际性的体操比赛。,划分：gym | nastics 针对第1个元素采用含义联想法：gym 为已经记忆过的单词，表示 n.体育馆 ——> 需要在体育馆里才能进行的活动，即 n.体操；由 n.体操 进一步延伸得到更 广义的含义 n.体育； 总结：看到 gymnastics 由 gym n.体育馆 联想到与体育相关的含义 n.体操；体 育,,,,Part1,1121,单词突围5200 上册,1.0
